. Sequence file : [run5.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

      	     	          	           	          	           	             	                                      	 0.59618   0.15932  -0.91963   0.16413  
      	     	          	           	          	           	             	                                      	 0.04629   0.85807   0.30629  -1.21065  

  #50	76   	-31951.68493	Yes        	4        	0.570    	0.000    	 0.18568   0.32781   0.30617   0.18035	-1.26305   0.25481   0.94523   0.06302  
      	     	          	           	          	           	             	                                      	 0.14433  -0.78557   0.19647   0.44478  
      	     	          	           	          	           	             	                                      	 0.57324   0.21035  -0.96413   0.18054  
      	     	          	           	          	           	             	                                      	 0.06488   0.80844   0.30650  -1.17982  

  #51	76   	-31675.46103	Yes        	4        	0.570    	0.000    	 0.18272   0.31914   0.31508   0.18306	-1.34989   0.24577   1.07213   0.03199  
      	     	          	           	          	           	             	                                      	 0.14071  -0.77439   0.16090   0.47278  
      	     	          	           	          	           	             	                                      	 0.62172   0.16297  -0.94694   0.16225  
      	     	          	           	          	           	             	                                      	 0.03193   0.82422   0.27926  -1.13541  

  #52	76   	-31747.29053	Yes        	4        	0.570    	0.000    	 0.18794   0.31963   0.31078   0.18165	-1.22749   0.24313   0.94709   0.03727  
      	     	          	           	          	           	             	                                      	 0.14296  -0.80718   0.16719   0.49703  
      	     	          	           	          	           	             	                                      	 0.57274   0.17196  -0.92811   0.18341  
      	     	          	           	          	           	             	                                      	 0.03856   0.87458   0.31379  -1.22692  

  #53	76   	-30368.79347	Yes        	4        	0.570    	0.000    	 0.18021   0.32127   0.31136   0.18717	-1.25155   0.21373   0.93959   0.09822  
      	     	          	           	          	           	             	                                      	 0.11989  -0.84908   0.16617   0.56302  
      	     	          	           	          	           	             	                                      	 0.54383   0.17146  -0.84438   0.12910  
      	     	          	           	          	           	             	                                      	 0.09457   0.96640   0.21475  -1.27572  

  #54	76   	-31552.62800	Yes        	4        	0.570    	0.000    	 0.19365   0.30339   0.32900   0.17396	-1.24518   0.23460   0.93697   0.07361  
      	     	          	           	          	           	             	                                      	 0.14974  -0.81883   0.17788   0.49120  
      	     	          	           	          	           	             	                                      	 0.55151   0.16403  -0.88538   0.16984  
      	     	          	           	          	           	             	                                      	 0.08194   0.85665   0.32120  -1.25979  

  #55	76   	-32622.46496	Yes        	4        	0.570    	0.000    	 0.18508   0.31254   0.32438   0.17801	-1.25253   0.24791   0.95955   0.04506  
      	     	          	           	          	           	             	                                      	 0.14681  -0.80409   0.16981   0.48747  
      	     	          	           	          	           	             	                                      	 0.54750   0.16361  -0.90459   0.19348  
      	     	          	           	          	           	             	                                      	 0.04685   0.85588   0.35256  -1.25529  

  #56	76   	-30609.54175	Yes        	4        	0.570    	0.000    	 0.19066   0.32572   0.30248   0.18115	-1.26747   0.29823   0.90018   0.06906  
      	     	          	           	          	           	             	                                      	 0.17456  -0.81222   0.14339   0.49426  
      	     	          	           	          	           	             	                                      	 0.56740   0.15441  -0.88928   0.16747  
      	     	          	           	          	           	             	                                      	 0.07269   0.88870   0.27963  -1.24102  

  #57	76   	-31291.94219	Yes        	4        	0.570    	0.000    	 0.17960   0.30398   0.31781   0.19861	-1.20803   0.24798   0.88140   0.07865  
      	     	          	           	          	           	             	                                      	 0.14651  -0.89416   0.20502   0.54263  
      	     	          	           	          	           	             	                                      	 0.49810   0.19610  -0.86967   0.17547  
      	     	          	           	          	           	             	                                      	 0.07112   0.83052   0.28078  -1.18242  

  #58	76   	-31142.60156	Yes        	4        	0.570    	0.000    	 0.18650   0.31120   0.31351   0.18879	-1.29457   0.25887   0.96511   0.07059  
      	     	          	           	          	           	             	                                      	 0.15514  -0.81107   0.17683   0.47910  
      	     	          	           	          	           	             	                                      	 0.57412   0.17553  -0.92328   0.17363  
      	     	          	           	          	           	             	                                      	 0.06974   0.78974   0.28834  -1.14782  

  #59	76   	-30769.19805	Yes        	4        	0.570    	0.000    	 0.18372   0.31677   0.31226   0.18725	-1.20939   0.26292   0.89931   0.04716  
      	     	          	           	          	           	             	                                      	 0.15249  -0.85789   0.19578   0.50962  
      	     	          	           	          	           	             	                                      	 0.52911   0.19860  -0.90181   0.17410  
      	     	          	           	          	           	             	                                      	 0.04627   0.86210   0.29032  -1.19870  

  #60	76   	-30094.45546	Yes        	4        	0.570    	0.000    	 0.18984   0.32260   0.30724   0.18031	-1.27768   0.24248   0.96494   0.07026  
      	     	          	           	          	           	             	                                      	 0.14270  -0.80004   0.17310   0.48424  
      	     	          	           	          	           	             	                                      	 0.59623   0.18176  -0.92569   0.14771  
      	     	          	           	          	           	             	                                      	 0.07397   0.86636   0.25169  -1.19202  

  #61	76   	-31558.55946	Yes        	4        	0.570    	0.000    	 0.19015   0.31051   0.31213   0.18722	-1.15229   0.22789   0.88294   0.04147  
      	     	          	           	          	           	             	                                      	 0.13955  -0.85409   0.22109   0.49345  
      	     	          	           	          	           	             	                                      	 0.53788   0.21994  -0.94693   0.18910  
      	     	          	           	          	           	             	                                      	 0.04212   0.81841   0.31527  -1.17580  

  #62	76   	-32575.38886	Yes        	4        	0.570    	0.000    	 0.18505   0.33336   0.29715   0.18443	-1.23495   0.32138   0.86333   0.05024  
      	     	          	           	          	           	             	                                      	 0.17840  -0.86607   0.18013   0.50753  
      	     	          	           	          	           	             	                                      	 0.53764   0.20208  -0.88183   0.14211  
      	     	          	           	          	           	             	                                      	 0.05041   0.91735   0.22897  -1.19673  

